51,Estevan Airport,Estevan,Canada,YEN,CYEN,49.21030045,-102.9660034,1905,-6,N,America/Regina,airport,OurAirports
52,Edson Airport,Edson,Canada,YET,CYET,53.57889938,-116.4649963,3043,-7,A,America/Edmonton,airport,OurAirports
53,Eureka Airport,Eureka,Canada,YEU,CYEU,79.99469757,-85.81420136,256,-6,A,America/Winnipeg,airport,OurAirports
54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.30419922,-133.4830017,224,-7,A,America/Edmonton,airport,OurAirports
55,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756402,-68.555801,110,-5,A,America/Toronto,airport,OurAirports
56,Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.8689003,-66.53720093,68,-4,A,America/Halifax,airport,OurAirports
57,Forestville Airport,Forestville,Canada,YFE,CYFE,48.74610138,-69.09719849,293,-5,A,America/Toronto,airport,OurAirports
58,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.67810059,-101.6819992,997,-6,A,America/Winnipeg,airport,OurAirports
59,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.18080139,-113.6900024,526,-7,A,America/Edmonton,airport,OurAirports
60,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.7602005,-121.2369995,555,-7,A,America/Edmonton,airport,OurAirports
61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529984,-76.59690094,305,-5,A,America/Toronto,airport,OurAirports
62,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.62530136,-77.70420074,639,-5,A,America/Toronto,airport,OurAirports
63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.77529907,-64.47859955,112,-5,A,America/Toronto,airport,OurAirports
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.77830124,-86.93939972,1144,-5,A,America/Toronto,airport,OurAirports
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.42470169,-61.77809906,35,-5,A,America/Toronto,airport,OurAirports
66,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.81669998,-102.310997,1175,-6,N,America/Regina,airport,OurAirports
67,Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.831699,-92.744202,1354,-6,A,America/Winnipeg,airport,OurAirports
68,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.76280212,-117.8059998,117,-7,A,America/Edmonton,airport,OurAirports
69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.63559723,-95.84970093,152,-7,A,America/Edmonton,airport,OurAirports
70,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,43.17359924,-79.93499756,780,-5,A,America/Toronto,airport,OurAirports
71,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.51750183,-73.41690063,90,-5,A,America/Toronto,airport,OurAirports
72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.83969879,-115.7829971,541,-7,A,America/Edmonton,airport,OurAirports
73,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.88079834,-63.50859833,477,-4,A,America/Halifax,airport,OurAirports
74,Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,48.77389908,-91.63860321,1408,-5,A,America/Coral_Harbour,airport,OurAirports
75,Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.6832962,-77.96669769,181,-5,A,America/Toronto,airport,OurAirports
76,St Jean Airport,St. Jean,Canada,YJN,CYJN,45.29439926,-73.28109741,136,-5,A,America/Toronto,airport,OurAirports
77,Stephenville Airport,Stephenville,Canada,YJT,CYJT,48.5442009,-58.54999924,84,-3.5,A,America/St_Johns,airport,OurAirports
78,Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.70220184,-120.4440002,1133,-8,A,America/Vancouver,airport,OurAirports
79,Waterloo Airport,Waterloo,Canada,YKF,CYKF,43.46080017,-80.37860107,1055,-5,A,America/Toronto,airport,OurAirports
80,Schefferville Airport,Schefferville,Canada,YKL,CYKL,54.80530167,-66.80529785,1709,-5,A,America/Toronto,airport,OurAirports
81,Kindersley Airport,Kindersley,Canada,YKY,CYKY,51.51750183,-109.1809998,2277,-6,N,America/Regina,airport,OurAirports
82,Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,43.86220169,-79.37000275,650,-5,A,America/Toronto,airport,OurAirports
83,Chapleau Airport,Chapleau,Canada,YLD,CYLD,47.81999969,-83.34670258,1470,-5,A,America/Toronto,airport,OurAirports
84,Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,54.12530136,-108.5230026,1576,-6,N,America/Regina,airport,OurAirports
85,Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,53.30920029,-110.072998,2193,-7,A,America/Edmonton,airport,OurAirports
86,Alert Airport,Alert,Canada,YLT,CYLT,82.51779938,-62.2806015,100,-5,A,America/Toronto,airport,OurAirports
87,Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.95610046,-119.3779984,1421,-8,A,America/Vancouver,airport,OurAirports
88,Mayo Airport,Mayo,Canada,YMA,CYMA,63.61640167,-135.8679962,1653,-8,A,America/Vancouver,airport,OurAirports
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,50.33029938,-105.5589981,1892,-6,N,America/Regina,airport,OurAirports
90,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,56.65330124,-111.2220001,1211,-7,A,America/Edmonton,airport,OurAirports
91,Moosonee Airport,Moosonee,Canada,YMO,CYMO,51.29109955,-80.60780334,30,-5,A,America/Toronto,airport,OurAirports
92,Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,46.27280045,-75.99060059,656,-5,A,America/Toronto,airport,OurAirports
93,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,45.679501,-74.038696,270,-5,A,America/Toronto,airport,OurAirports
94,Natashquan Airport,Natashquan,Canada,YNA,CYNA,50.18999863,-61.78919983,39,-5,A,America/Toronto,airport,OurAirports
95,Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,45.52170181,-75.56359863,211,-5,A,America/Toronto,airport,OurAirports
96,Matagami Airport,Matagami,Canada,YNM,CYNM,49.76169968,-77.80280304,918,-5,A,America/Toronto,airport,OurAirports
97,Old Crow Airport,Old Crow,Canada,YOC,CYOC,67.57060242,-139.8390045,824,-8,A,America/Vancouver,airport,OurAirports
98,CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,54.40499878,-110.2789993,1775,-7,A,America/Edmonton,airport,OurAirports
99,High Level Airport,High Level,Canada,YOJ,CYOJ,58.62139893,-117.1650009,1110,-7,A,America/Edmonton,airport,OurAirports
100,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,45.32249832,-75.66919708,374,-5,A,America/Toronto,airport,OurAirports
