3G,595,FNA,1059,DKR,1084,,0,319,""
3G,595,FNA,1059,LGW,502,,0,319,""
3G,595,FNA,1059,ROB,1063,,0,319,""
3G,595,LGW,502,FNA,1059,,0,319,""
3G,595,LOS,273,ACC,248,,0,319,""
3G,595,LOS,273,DKR,1084,,0,319,""
3G,595,LOS,273,DLA,897,,0,319,""
3G,595,LOS,273,ROB,1063,,0,319,""
3G,595,OXB,5665,CKY,4162,,0,319,""
3G,595,OXB,5665,DKR,1084,,0,319,""
3G,595,ROB,1063,FNA,1059,,0,319,""
3G,595,ROB,1063,LOS,273,,0,319,""
3H,\N,AKV,5506,YIK,5504,,0,DH8,""
3H,\N,AKV,5506,YPX,6727,,0,DH8,""
3H,\N,XGR,5512,YVP,154,,0,DHT BET,""
3H,\N,YGL,62,YGW,5496,,0,DHT,""
3H,\N,YGL,62,YPX,6727,,0,73M,""
3H,\N,YGL,62,YUL,146,,0,73M,""
3H,\N,YGW,5496,YGL,62,,0,DHT,""
3H,\N,YGW,5496,YPH,5520,,0,BET,""
3H,\N,YGW,5496,YSK,5529,,0,DH8,""
3H,\N,YGW,5496,YUD,5515,,0,DH8,""
3H,\N,YGW,5496,YUL,146,,0,DH8,""
3H,\N,YGW,5496,YUY,149,,0,DH8,""
3H,\N,YIK,5504,AKV,5506,,0,DH8,""
3H,\N,YIK,5504,YZG,5535,,0,DH8,""
3H,\N,YKG,5481,YPJ,5508,,0,DHT DH8,""
3H,\N,YKG,5481,YQC,5499,,0,DH8,""
3H,\N,YKG,5481,YVP,154,,0,DH8 DHT,""
3H,\N,YKL,80,YQB,111,,0,DH8,""
3H,\N,YKL,80,YVP,154,,0,DH8 BET,""
3H,\N,YKL,80,YWK,161,,0,BET,""
3H,\N,YKL,80,YZV,202,,0,BET DH8,""
3H,\N,YPH,5520,YPX,6727,,0,DH8 BET,""
3H,\N,YPH,5520,YUD,5515,,0,DH8,""
3H,\N,YPH,5520,YVP,154,,0,BET,""
3H,\N,YPJ,5508,YKG,5481,,0,DHT DH8,""
3H,\N,YPJ,5508,YTQ,6728,,0,DHT DH8,""
3H,\N,YPJ,5508,YVP,154,,0,DHT,""
3H,\N,YPX,6727,AKV,5506,,0,DH8,""
3H,\N,YPX,6727,YGL,62,,0,73M,""
3H,\N,YPX,6727,YPH,5520,,0,DH8,""
3H,\N,YPX,6727,YVP,154,,0,BET,""
3H,\N,YQB,111,YKL,80,,0,DH8,""
3H,\N,YQB,111,YUL,146,,0,DH8,""
3H,\N,YQC,5499,YKG,5481,,0,DH8,""
3H,\N,YQC,5499,YWB,7253,,0,DH8,""
3H,\N,YSK,5529,YGW,5496,,0,DH8,""
3H,\N,YSK,5529,YUD,5515,,0,DH8,""
3H,\N,YTQ,6728,YPJ,5508,,0,DHT DH8,""
3H,\N,YTQ,6728,YVP,154,,0,DHT DH8,""
3H,\N,YUD,5515,YGW,5496,,0,DH8,""
3H,\N,YUD,5515,YPH,5520,,0,DH8,""
3H,\N,YUD,5515,YSK,5529,,0,DH8,""
3H,\N,YUL,146,YGL,62,,0,73M,""
3H,\N,YUL,146,YGW,5496,,0,DH8,""
3H,\N,YUL,146,YQB,111,,0,DH8,""
3H,\N,YUL,146,YUY,149,,0,DH8,""
3H,\N,YUY,149,YGW,5496,,0,DH8,""
3H,\N,YUY,149,YUL,146,,0,DH8,""
3H,\N,YVP,154,XGR,5512,,0,DHT BET,""
3H,\N,YVP,154,YGW,5496,,0,BET,""
3H,\N,YVP,154,YKG,5481,,0,DH8,""
3H,\N,YVP,154,YKL,80,,0,DH8 BET,""
3H,\N,YVP,154,YPH,5520,,0,BET,""
3H,\N,YVP,154,YPJ,5508,,0,DHT,""
3H,\N,YVP,154,YPX,6727,,0,BET,""
3H,\N,YVP,154,YTQ,6728,,0,DHT DH8,""
3H,\N,YWB,7253,YQC,5499,,0,DH8,""
